"Abbreviation","State","Year_2012","Year_2016","turnout_change","d_margin_12","d_margin_16","margin_shift","ev"
"AZ","Arizona",0.5257,0.543052913979012,0.017352913979012,0.091,0.035,0.055,11
"CA","California",0.5506,0.561007378395251,0.0104073783952507,-0.231,-0.301,0.07,55
"CO","Colorado",0.699,0.698742262921436,-0.000257737078563691,-0.054,-0.049,-0.005,9
"HI","Hawaii",0.4423,0.41681923130743,-0.0254807686925696,-0.427,-0.322,-0.105,4
"IA","Iowa",0.7026,0.681734025385601,-0.0208659746143991,-0.058,0.094,-0.152,6
"IL","Illinois",0.589,0.616270384843403,0.0272703848434029,-0.169,-0.171,0.002,20
"KS","Kansas",0.5694,0.573348998262626,0.00394899826262574,0.217,0.206,0.011,6
"LA","Louisiana",0.6021,0.598281964162031,-0.00381803583796925,0.172,0.196,-0.024,8
"MA","Massachusetts",0.6586,0.66792603298605,0.00932603298605017,-0.231,-0.272,0.041,11
"MI","Michigan",0.6469,0.645795132104318,-0.00110486789568154,-0.095,0.002,-0.097,16
"MN","Minnesota",0.7605,0.741331410028875,-0.0191685899711252,-0.077,-0.015,-0.062,10
"MO","Missouri",0.622,0.621375812006165,-0.000624187993835346,0.094,0.186,-0.093,10
"MS","Mississippi",0.5933,0.555426346442394,-0.037873653557606,0.115,0.178,-0.063,6
"MT","Montana",0.625,0.618470503201536,-0.00652949679846437,0.137,0.204,-0.068,3
"NC","North Carolina",0.6484,0.647975328209457,-0.000424671790542952,0.02,0.037,-0.016,15
"ND","North Dakota",0.5984,0.59114146127093,-0.0072585387290699,0.196,0.357,-0.161,3
"OH","Ohio",0.6452,0.627935346211798,-0.0172646537882019,-0.03,0.081,-0.111,18
"SD","South Dakota",0.5933,0.585426626883806,-0.00787337311619396,0.18,0.298,-0.118,3
"TN","Tennessee",0.5191,0.511827934606726,-0.00727206539327374,0.204,0.26,-0.056,11
"TX","Texas",0.4959,0.512089407450008,0.016189407450008,0.158,0.09,0.068,38
"UT","Utah",0.555,0.567536508423786,0.0125365084237861,0.48,0.181,0.3,6
"WA","Washington",0.6482,0.656900211651199,0.00870021165119961,-0.149,-0.155,0.006,12
"WI","Wisconsin",0.729,0.692924447801275,-0.0360755521987253,-0.069,0.008,-0.077,10
