"Abbreviation","State","Year_2012","Year_2016","turnout_change","d_margin_12","d_margin_16","margin_shift","ev"
"AK","Alaska",0.5871,0.613296220796495,0.0261962207964952,0.14,0.147,-0.007,3
"AL","Alabama",0.5861,0.58882732966862,0.00272732966862022,0.222,0.277,-0.055,9
"AR","Arkansas",0.5069,0.526258342677318,0.0193583426773181,0.237,0.269,-0.032,6
"AZ","Arizona",0.5257,0.543052913979012,0.017352913979012,0.091,0.035,0.055,11
"CA","California",0.5506,0.561007378395251,0.0104073783952507,-0.231,-0.301,0.07,55
"CT","Connecticut",0.613,0.639465202265489,0.0264652022654885,-0.173,-0.136,-0.037,7
"DE","Delaware",0.6234,0.636609630956998,0.0132096309569976,-0.186,-0.114,-0.072,3
"FL","Florida",0.6279,0.645147480308872,0.0172474803088724,-0.009,0.012,-0.021,29
"IL","Illinois",0.589,0.616270384843403,0.0272703848434029,-0.169,-0.171,0.002,20
"IN","Indiana",0.5519,0.562641009568336,0.0107410095683357,0.102,0.192,-0.09,11
"KS","Kansas",0.5694,0.573348998262626,0.00394899826262574,0.217,0.206,0.011,6
"KY","Kentucky",0.5566,0.587220340421039,0.0306203404210386,0.227,0.298,-0.071,8
"MA","Massachusetts",0.6586,0.66792603298605,0.00932603298605017,-0.231,-0.272,0.041,11
"ME","Maine",0.6818,0.706720929485423,0.0249209294854229,-0.153,-0.03,-0.123,4
"NE","Nebraska",0.6032,0.623709512263235,0.0205095122632352,0.218,0.25,-0.033,5
"NH","New Hampshire",0.7016,0.71474825360876,0.0131482536087604,-0.056,-0.004,-0.052,4
"NJ","New Jersey",0.6151,0.635804110324653,0.0207041103246535,-0.178,-0.141,-0.037,14
"NM","New Mexico",0.5457,0.546830230269039,0.0011302302690388,-0.101,-0.082,-0.019,5
"NV","Nevada",0.5635,0.571137916369354,0.00763791636935363,-0.067,-0.024,-0.043,6
"NY","New York",0.531,0.563065356578862,0.032065356578862,-0.282,-0.225,-0.057,29
"OK","Oklahoma",0.492,0.520333774646606,0.0283337746466062,0.335,0.364,-0.028,7
"OR","Oregon",0.6309,0.6656391624133,0.0347391624133001,-0.121,-0.11,-0.011,7
"PA","Pennsylvania",0.5949,0.628013625408079,0.0331136254080794,-0.054,0.007,-0.061,20
"RI","Rhode Island",0.5801,0.590430613488426,0.010330613488426,-0.275,-0.155,-0.119,4
"SC","South Carolina",0.5633,0.567925655894401,0.00462565589440123,0.105,0.143,-0.038,9
"TX","Texas",0.4959,0.512089407450008,0.016189407450008,0.158,0.09,0.068,38
"UT","Utah",0.555,0.567536508423786,0.0125365084237861,0.48,0.181,0.3,6
"VT","Vermont",0.6066,0.634654005829518,0.0280540058295179,-0.356,-0.264,-0.092,3
"WA","Washington",0.6482,0.656900211651199,0.00870021165119961,-0.149,-0.155,0.006,12
"WV","West Virginia",0.4633,0.498529687312103,0.0352296873121034,0.268,0.422,-0.154,5
"WY","Wyoming",0.5858,0.593602019438019,0.00780201943801895,0.408,0.463,-0.055,3
