"Abbreviation","State","Year_2012","Year_2016","turnout_change","d_margin_12","d_margin_16","margin_shift","ev"
"AL","Alabama",0.5861,0.58882732966862,0.00272732966862022,0.222,0.277,-0.055,9
"IN","Indiana",0.5519,0.562641009568336,0.0107410095683357,0.102,0.192,-0.09,11
"KS","Kansas",0.5694,0.573348998262626,0.00394899826262574,0.217,0.206,0.011,6
"MS","Mississippi",0.5933,0.555426346442394,-0.037873653557606,0.115,0.178,-0.063,6
"NC","North Carolina",0.6484,0.647975328209457,-0.000424671790542952,0.02,0.037,-0.016,15
"NE","Nebraska",0.6032,0.623709512263235,0.0205095122632352,0.218,0.25,-0.033,5
"NH","New Hampshire",0.7016,0.71474825360876,0.0131482536087604,-0.056,-0.004,-0.052,4
"NM","New Mexico",0.5457,0.546830230269039,0.0011302302690388,-0.101,-0.082,-0.019,5
"OH","Ohio",0.6452,0.627935346211798,-0.0172646537882019,-0.03,0.081,-0.111,18
"RI","Rhode Island",0.5801,0.590430613488426,0.010330613488426,-0.275,-0.155,-0.119,4
"SC","South Carolina",0.5633,0.567925655894401,0.00462565589440123,0.105,0.143,-0.038,9
"TN","Tennessee",0.5191,0.511827934606726,-0.00727206539327374,0.204,0.26,-0.056,11
"TX","Texas",0.4959,0.512089407450008,0.016189407450008,0.158,0.09,0.068,38
"VA","Virginia",0.6606,0.657107898456896,-0.00349210154310364,-0.039,-0.053,0.015,13
"WI","Wisconsin",0.729,0.692924447801275,-0.0360755521987253,-0.069,0.008,-0.077,10
