"Year","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","USA","UT","VA","VT","WA","WI","WV","WY"
1980,0.5866,0.4922,0.5202,0.4624,0.5501,0.5716,0.6388,0.3721,0.5599,0.5201,0.4211,0.4691,0.6363,0.6904,0.6037,0.5829,0.5749,0.5052,0.5398,0.6141,0.5196,0.654,0.6133,0.7119,0.5949,0.5238,0.6562,0.4415,0.6524,0.5747,0.5813,0.5808,0.5231,0.4325,0.5166,0.5608,0.5318,0.6282,0.5265,0.6163,0.4107,0.6766,0.4923,0.4744,0.542,0.66,0.4871,0.5874,0.596,0.6843,0.5318,0.541
1984,0.6052,0.5092,0.5302,0.4769,0.572,0.5712,0.6376,0.448,0.5755,0.524,0.4311,0.4838,0.6415,0.6203,0.6083,0.5702,0.5836,0.5181,0.5652,0.5989,0.5382,0.6583,0.5933,0.699,0.5867,0.5327,0.6639,0.4821,0.6401,0.5745,0.5409,0.605,0.5379,0.4364,0.5565,0.5881,0.5402,0.6432,0.5511,0.5885,0.4158,0.6426,0.5012,0.51,0.5525,0.6304,0.5235,0.6149,0.6131,0.6487,0.5288,0.5579
1988,0.5637,0.4751,0.4899,0.4775,0.5574,0.5896,0.6065,0.4252,0.5289,0.4902,0.4058,0.4791,0.6062,0.6128,0.5734,0.5427,0.5596,0.4934,0.5536,0.6003,0.5155,0.6246,0.5552,0.6792,0.5663,0.5196,0.6438,0.4452,0.637,0.5878,0.5635,0.5703,0.5198,0.4557,0.5273,0.5583,0.5214,0.6062,0.5101,0.5606,0.4019,0.6335,0.4607,0.501,0.5277,0.6202,0.4984,0.6011,0.5683,0.628,0.4848,0.5603
1992,0.663,0.557,0.5429,0.5565,0.603,0.6289,0.6858,0.5328,0.5803,0.559,0.4848,0.4689,0.6583,0.6561,0.6224,0.5539,0.6391,0.5384,0.5972,0.6381,0.577,0.7426,0.6299,0.7367,0.6306,0.5293,0.692,0.5144,0.666,0.6416,0.6607,0.6193,0.531,0.5386,0.5665,0.6126,0.6061,0.6819,0.5493,0.6284,0.4606,0.6675,0.5321,0.5419,0.5811,0.6401,0.5536,0.6901,0.6399,0.6993,0.5008,0.6187
1996,0.5978,0.488,0.4794,0.456,0.5374,0.5453,0.5959,0.4657,0.5123,0.5187,0.4437,0.4391,0.5881,0.5931,0.5248,0.4963,0.5728,0.4821,0.5778,0.5836,0.5045,0.6515,0.5535,0.6605,0.5505,0.4586,0.6311,0.4628,0.5598,0.5702,0.5835,0.5637,0.4744,0.4094,0.5187,0.5539,0.5095,0.5967,0.4972,0.5442,0.4216,0.6112,0.4754,0.4648,0.5166,0.5016,0.5022,0.5932,0.5886,0.5836,0.459,0.6131
2000,0.6813,0.516,0.4786,0.4563,0.5571,0.5754,0.619,0.4832,0.5903,0.559,0.458,0.4419,0.6316,0.5717,0.5624,0.4932,0.5561,0.5224,0.5641,0.5988,0.555,0.6725,0.5986,0.6955,0.5824,0.491,0.6157,0.5068,0.6031,0.5693,0.639,0.569,0.4851,0.4524,0.551,0.5672,0.4986,0.6488,0.5406,0.5422,0.4696,0.5766,0.4987,0.4916,0.5422,0.5384,0.5404,0.641,0.607,0.6764,0.4662,0.5919
2004,0.6914,0.572,0.5357,0.5414,0.5878,0.667,0.6498,0.543,0.6416,0.6442,0.5617,0.4823,0.6988,0.6324,0.615,0.5479,0.6158,0.5873,0.6105,0.6424,0.6285,0.738,0.6663,0.7837,0.6533,0.557,0.6443,0.5781,0.6481,0.6293,0.7086,0.6377,0.5896,0.5525,0.5802,0.6678,0.583,0.7201,0.6256,0.5852,0.5295,0.6821,0.5631,0.5372,0.601,0.5893,0.6061,0.6634,0.6691,0.748,0.5413,0.6565
2008,0.6804,0.6078,0.5245,0.5668,0.6092,0.7098,0.6664,0.6146,0.6565,0.6613,0.6247,0.4877,0.6936,0.6363,0.6362,0.5912,0.6205,0.5794,0.6116,0.668,0.6705,0.7056,0.6919,0.7781,0.6759,0.6103,0.6632,0.6547,0.6273,0.6286,0.7165,0.6696,0.6092,0.5704,0.5901,0.6694,0.5585,0.6769,0.6357,0.6178,0.5802,0.6466,0.5697,0.5411,0.6155,0.5601,0.6702,0.6734,0.6658,0.724,0.4987,0.6277
2012,0.5871,0.5861,0.5069,0.5257,0.5506,0.699,0.613,0.6151,0.6234,0.6279,0.5903,0.4423,0.7026,0.5976,0.589,0.5519,0.5694,0.5566,0.6021,0.6586,0.6662,0.6818,0.6469,0.7605,0.622,0.5933,0.625,0.6484,0.5984,0.6032,0.7016,0.6151,0.5457,0.5635,0.531,0.6452,0.492,0.6309,0.5949,0.5801,0.5633,0.5933,0.5191,0.4959,0.5802,0.555,0.6606,0.6066,0.6482,0.729,0.4633,0.5858
2016,0.613296220796495,0.58882732966862,0.526258342677318,0.543052913979012,0.561007378395251,0.698742262921436,0.639465202265489,0.602332561231184,0.636609630956998,0.645147480308872,0.588092358873213,0.41681923130743,0.681734025385601,0.594426852656408,0.616270384843403,0.562641009568336,0.573348998262626,0.587220340421039,0.598281964162031,0.66792603298605,0.661889421033619,0.706720929485423,0.645795132104318,0.741331410028875,0.621375812006165,0.555426346442394,0.618470503201536,0.647975328209457,0.59114146127093,0.623709512263235,0.71474825360876,0.635804110324653,0.546830230269039,0.571137916369354,0.563065356578862,0.627935346211798,0.520333774646606,0.6656391624133,0.628013625408079,0.590430613488426,0.567925655894401,0.585426626883806,0.511827934606726,0.512089407450008,0.590043211979487,0.567536508423786,0.657107898456896,0.634654005829518,0.656900211651199,0.692924447801275,0.498529687312103,0.593602019438019
