State_ab,State,votes_d,votes_r,votes_other,pct_d,pct_r,pct_other,d_margin_12,d_margin_16,margin_shit,votes_12_total,votes_16_total
AL,Alabama*,729547,1318255,75570,0.344,0.621,0.036,-0.222,-0.277,-0.055,2074338,2123372
AK,Alaska*,116454,163387,38767,0.366,0.513,0.122,-0.14,-0.147,-0.007,300495,318608
AZ,Arizona*,1161167,1252401,159597,0.451,0.487,0.062,-0.091,-0.035,0.055,2299254,2573165
AR,Arkansas*,380494,684872,65269,0.337,0.606,0.058,-0.237,-0.269,-0.032,1069468,1130635
CA,California*,8753788,4483810,943997,0.617,0.316,0.067,0.231,0.301,0.07,13038547,14181595
CO,Colorado*,1338870,1202484,238866,0.482,0.433,0.086,0.054,0.049,-0.005,2569521,2780220
CT,Connecticut*,897572,673215,74133,0.546,0.409,0.045,0.173,0.136,-0.037,1558114,1644920
DE,Delaware*,235603,185127,20860,0.534,0.419,0.047,0.186,0.114,-0.072,413890,441590
DC,District of Columbia*,282830,12723,15715,0.909,0.041,0.05,0.836,0.868,0.031,293764,311268
FL,Florida*,4504975,4617886,297178,0.478,0.49,0.032,0.009,-0.012,-0.021,8474179,9420039
GA,Georgia*,1877963,2089104,125306,0.459,0.51,0.031,-0.078,-0.052,0.027,3900050,4092373
HI,Hawaii*,266891,128847,33199,0.622,0.3,0.077,0.427,0.322,-0.105,434697,428937
ID,Idaho*,189765,409055,91435,0.275,0.593,0.132,-0.319,-0.318,0.001,652274,690255
IL,Illinois*,3090729,2146015,299680,0.558,0.388,0.054,0.169,0.171,0.002,5242014,5536424
IN,Indiana*,1033126,1557286,144546,0.378,0.569,0.053,-0.102,-0.192,-0.09,2624534,2734958
IA,Iowa*,653669,800983,111379,0.417,0.511,0.071,0.058,-0.094,-0.152,1582180,1566031
KS,Kansas*,427005,671018,86379,0.361,0.567,0.073,-0.217,-0.206,0.011,1159971,1184402
KY,Kentucky*,628854,1202971,92324,0.327,0.625,0.048,-0.227,-0.298,-0.071,1797212,1924149
LA,Louisiana*,780154,1178638,70240,0.384,0.581,0.035,-0.172,-0.196,-0.024,1994065,2029032
ME,Maine*,357735,335593,54599,0.478,0.449,0.073,0.153,0.03,-0.123,713180,747927
